2,52.0,37.0,4
3,60.0,37.0,4
13,95.0,40.0,6
14,1.0,1.0,4
16,69.0,28.0,4
17,85.0,36.0,6
18,93.0,40.0,6
19,92.0,36.0,5
21,49.0,3.0,7
22,47.0,3.0,7
26,50.0,28.0,4
27,64.0,28.0,4
28,55.0,32.0,5
29,54.0,36.0,4
30,88.0,36.0,5
31,62.0,36.0,5
32,52.0,36.0,4
33,97.0,40.0,6
34,57.0,40.0,4
35,67.0,40.0,4
36,86.0,40.0,6
37,89.0,48.0,5
38,74.0,52.0,5
39,84.0,56.0,5
40,84.0,56.0,5
41,127.0,60.0,7
44,41.0,37.0,4
45,92.0,48.0,6
46,62.0,28.0,5
47,48.0,3.0,7
48,46.0,36.0,6
49,74.0,40.0,7
50,72.0,40.0,6
51,152.0,56.0,6
52,148.0,64.0,6
53,152.0,68.0,6
54,128.0,112.0,6
55,134.0,120.0,6
56,54.0,44.0,4
57,123.0,42.0,4
62,159.0,40.0,7
63,147.0,120.0,6
64,184.0,48.0,7
65,163.0,136.0,7
67,76.0,36.0,5
68,85.0,32.0,6
69,117.0,48.0,7
70,198.0,60.0,7
71,219.0,64.0,7
72,157.0,136.0,7
73,230.0,176.0,7
74,136.0,48.0,10
75,130.0,56.0,7
76,180.0,80.0,7
77,105.0,40.0,6
78,102.0,44.0,6
82,159.0,80.0,7
84,141.0,44.0,10
87,122.0,52.0,6
89,72.0,44.0,7
91,86.0,36.0,6
92,213.0,4.0,6
94,423.0,4.0,6
95,85.0,32.0,6
96,83.0,36.0,6
98,154.0,48.0,7
99,115.0,48.0,6
100,198.0,56.0,7
101,114.0,92.0,6
102,70.0,44.0,7
103,37.0,5.0,6
105,122.0,40.0,6
106,196.0,80.0,7
108,124.0,3.0,5
111,98.0,44.0,4
112,121.0,48.0,7
113,93.0,48.0,4
114,167.0,52.0,6
115,212.0,56.0,8
116,184.0,56.0,7
117,118.0,64.0,4
118,189.0,68.0,7
120,222.0,72.0,7
121,126.0,84.0,4
122,226.0,104.0,6
125,197.0,60.0,6
126,108.0,64.0,4
127,148.0,64.0,5
128,174.0,84.0,7
129,90.0,40.0,4
130,133.0,3.0,5
131,105.0,3.0,5
132,111.0,3.0,5
133,135.0,36.0,10
135,49.0,24.0,5
136,103.0,68.0,4
137,173.0,72.0,5
139,49.0,5.0,6
141,84.0,32.0,6
143,170.0,56.0,7
144,260.0,80.0,7
145,208.0,80.0,7
146,236.0,132.0,7
147,198.0,148.0,7
149,204.0,48.0,7
150,120.0,114.0,7
152,50.0,32.0,6
153,136.0,60.0,6
154,200.0,100.0,5
155,85.0,32.0,6
158,40.0,5.0,6
159,40.0,5.0,6
160,36.0,5.0,6
161,300.0,66.0,4
162,207.0,140.0,7
163,221.0,144.0,7
164,240.0,68.0,6
170,109.0,32.0,7
171,103.0,52.0,4
172,81.0,60.0,4
173,168.0,76.0,5
174,235.0,84.0,6
175,198.0,84.0,6
176,217.0,116.0,7
178,62.0,36.0,6
179,63.0,40.0,7
180,44.0,5.0,6
181,83.0,32.0,6
182,47.0,5.0,6
183,75.0,36.0,5
184,227.0,35.0,7
186,49.0,5.0,6
187,44.0,24.0,5
188,134.0,44.0,6
189,298.0,80.0,7
190,108.0,32.0,10
196,234.0,132.0,7
198,40.0,5.0,6
200,68.0,32.0,5
202,81.0,36.0,6
203,81.0,40.0,6
204,405.0,4.0,6
205,130.0,44.0,10
206,91.0,56.0,4
207,193.0,60.0,7
208,164.0,64.0,6
209,224.0,72.0,6
210,234.0,72.0,6
211,275.0,72.0,7
212,250.0,76.0,7
213,270.0,77.0,4
214,295.0,88.0,10
216,117.0,48.0,4
217,374.0,3.0,6
218,351.0,4.0,6
219,120.0,48.0,4
222,224.0,64.0,7
223,168.0,64.0,6
224,203.0,68.0,6
225,225.0,80.0,7
226,227.0,84.0,9
227,128.0,110.0,7
230,119.0,36.0,10
231,59.0,36.0,4
235,139.0,48.0,4
236,129.0,48.0,8
237,164.0,76.0,8
240,341.0,268.0,7
245,192.0,100.0,5
248,160.0,40.0,7
249,155.0,40.0,7
250,294.0,76.0,7
251,52.0,36.0,4
253,174.0,64.0,7
254,235.0,68.0,7
255,130.0,40.0,10
256,84.0,36.0,5
259,92.0,40.0,6
260,113.0,40.0,10
261,97.0,48.0,5
262,335.0,112.0,7
263,93.0,44.0,5
264,265.0,52.0,8
265,116.0,72.0,4
266,190.0,84.0,5
267,348.0,92.0,8
268,159.0,100.0,4
269,168.0,100.0,4
270,310.0,108.0,7
271,322.0,148.0,7
272,389.0,76.0,7
273,201.0,84.0,5
274,450.0,85.0,4
275,202.0,96.0,5
276,361.0,100.0,8
277,372.0,108.0,8
278,478.0,124.0,7
279,197.0,60.0,8
280,269.0,84.0,7
282,250.0,68.0,6
283,300.0,2.0,6
287,303.0,68.0,8
288,163.0,128.0,4
289,142.0,40.0,7
292,185.0,108.0,5
295,218.0,64.0,7
296,241.0,72.0,6
297,286.0,80.0,8
298,335.0,100.0,6
299,238.0,124.0,5
302,362.0,64.0,7
303,428.0,156.0,8
305,171.0,60.0,7
307,200.0,68.0,7
309,199.0,60.0,6
310,178.0,72.0,4
312,191.0,68.0,6
314,333.0,200.0,7
315,193.0,64.0,7
317,279.0,84.0,7
318,97.0,32.0,7
319,117.0,32.0,7
320,168.0,60.0,6
321,159.0,40.0,7
322,236.0,72.0,7
324,227.0,56.0,7
326,248.0,68.0,7
328,101.0,76.0,4
329,253.0,84.0,8
330,371.0,84.0,7
331,295.0,92.0,7
332,348.0,108.0,8
333,343.0,112.0,6
334,265.0,120.0,7
335,565.0,128.0,8
342,132.0,64.0,4
343,244.0,80.0,7
345,97.0,32.0,7
351,455.0,262.0,6
352,225.0,72.0,6
353,218.0,120.0,5
354,234.0,3.0,5
356,363.0,116.0,6
357,235.0,92.0,6
358,183.0,64.0,5
359,300.0,96.0,6
360,419.0,108.0,8
361,273.0,160.0,5
362,403.0,84.0,8
363,463.0,88.0,8
366,230.0,52.0,4
367,387.0,120.0,6
368,166.0,48.0,6
370,140.0,68.0,4
373,325.0,181.0,8
375,105.0,32.0,10
380,327.0,164.0,5
383,109.0,40.0,6
384,371.0,84.0,8
385,490.0,140.0,9
388,216.0,76.0,6
394,212.0,128.0,5
395,337.0,100.0,6
396,361.0,104.0,6
397,489.0,108.0,8
398,174.0,64.0,7
399,342.0,80.0,7
400,330.0,2.0,6
406,149.0,40.0,10
408,118.0,40.0,6
409,150.0,96.0,4
411,200.0,68.0,6
414,91.0,48.0,4
